null_values_mdd,actual_value_mdd,null_values_aud,actual_value_aud,null_values_hc01,actual_value_hc01,null_values_hc02,actual_value_hc02
0.136744307,,0.135043677,,0.23870994,,0.217863836,
0.038405935,,0.148843163,,0.096075681,,0.088370032,
0.113856536,,0.119571705,,0.126879609,,0.072231763,
0.071100253,,0.153122951,,0.049002725,,0.091131399,
0.173157868,,0.223248481,,0.095691057,,0.109385639,
0.046979207,,0.110436863,,0.058557637,,0.016155024,
0.011833429,,0.05072304,,0.055267676,,0.05964094,
0.078460539,,0.095856618,,0.110921759,,0.136451136,
0.044534857,,0.093273115,,0.106404662,,0.060975301,
0.044066984,,0.065261461,,0.032800362,,0.037525185,
0.063257997,,0.092160387,,0.049439054,,0.070041382,
0.074711337,,0.077616729,,0.105692655,,0.141989346,
0.05329589,,0.117667097,,0.060258152,,0.112287183,
0.049534675,,0.124735168,,0.071752281,,0.106686534,
0.085949067,,0.098224095,,0.067607745,,0.113288847,
0.122442083,,0.091787543,,0.078292644,,0.138369558,
0.03021046,,0.07242243,,0.080818899,,0.030258865,
0.052092097,,0.073511662,,0.071795466,,0.073856607,
0.042332691,,0.122003016,,0.090707014,,0.100083709,
0.087840594,,0.112862237,,0.031278399,,0.116877706,
0.095210468,,0.120697994,,0.071718181,,0.085984658,
0.02794159,,0.051918501,,0.077982054,,0.064576341,
0.032688216,,0.09770881,,0.081712331,,0.097508412,
0.046772894,,0.101145835,,0.080129252,,0.081377494,
0.040232785,,0.059009479,,0.096159574,,0.073691068,
0.033415577,,0.095439129,,0.081911251,,0.104183659,
0.100286665,,0.076911474,,0.158191906,,0.127811246,
0.141640405,,0.150393356,,0.18247703,,0.182531969,
0.053515326,,0.094384663,,0.078014483,,0.082460699,
0.073291667,,0.125101535,,0.100736551,,0.067024532,
0.115450139,,0.124543279,,0.125825153,,0.145521289,
0.207865553,,0.206324511,,0.172485407,,0.184739979,
0.076943332,,0.094282519,,0.085062861,,0.170732089,
0.054181392,,0.046179297,,0.059383732,,0.076118527,
0.04501333,,0.127615203,,0.103662631,,0.099965893,
0.109099285,,0.119327349,,0.137548071,,0.109414824,
0.04941672,,0.097361991,,0.040172782,,0.103535405,
0.036488231,,0.065958018,,0.01105235,,0.085812469,
0.048096071,,0.096443475,,0.084843277,,0.039929824,
0.021868195,,0.078148794,,0.038702342,,0.046468814,
0.090648822,,0.149162173,,0.028343885,,0.066785645,
0.076318651,,0.171763278,,0.055661672,,0.067654481,
0.052320368,,0.085953089,,0.067498358,,0.064047652,
0.060443564,,0.070800454,,0.118191546,,0.130966799,
0.055113902,,0.058745816,,0.05162938,,0.069318948,
0.056159536,,0.092578769,,0.10201634,,0.09377512,
0.066579632,,0.121974244,,0.059883238,,0.044521856,
0.043254203,,0.080114283,,0.065238293,,0.051025874,
0.0606707,,0.090669747,,0.085089807,,0.086651708,
0.073837281,,0.157703984,,0.099778395,,0.151418543,
0.047252075,,0.107961156,,0.028556046,,0.108690534,
0.043213127,,0.088801418,,0.082793994,,0.018133744,
0.107899571,,0.202063236,,0.077258058,,0.110825706,
0.045162325,,0.086465687,,0.091079096,,0.107142847,
0.042748557,,0.07287194,,0.053740089,,0.091619362,
0.070240564,,0.08951504,,0.11101309,,0.041665258,
0.068414068,,0.126719116,,0.06666648,,0.115500176,
0.091872929,,0.087415991,,0.083324162,,0.156684149,
0.080793576,,0.204271895,,0.096182644,,0.115914862,
0.11490627,,0.161804302,,0.063280721,,0.104254158,
0.0536864,,0.042396253,,0.119566596,,0.123036389,
0.129911924,,0.12844037,,0.187150051,,0.166306887,
0.057419466,,0.092929531,,0.087854824,,0.081248298,
0.103601866,,0.152175115,,0.106445705,,0.091798309,
0.061668489,,0.119292843,,0.118579643,,0.146644663,
0.028816317,,0.051981198,,0.078991835,,0.07685145,
0.054339005,,0.066574305,,0.041136794,,0.113542667,
0.080657363,,0.082456838,,0.131272671,,0.083293324,
0.052294639,,0.077131552,,0.098837561,,0.129656699,
0.053510531,,0.077568113,,0.086053284,,0.071562556,
0.087586099,,0.121180661,,0.068057169,,0.159838829,
0.10492876,,0.221962143,,0.084542007,,0.074842884,
0.038109689,,0.096147174,,0.043951834,,0.04701476,
0.052861414,,0.100012849,,0.080177552,,0.10013985,
0.086448019,,0.196858452,,0.090235307,,0.05240057,
0.104428583,,0.109345411,,0.118872587,,0.136675615,
0.051289303,,0.062384477,,0.086603029,,0.035264409,
0.096093236,,0.086081164,,0.150341135,,0.117735695,
0.100533087,,0.189425837,,0.110220445,,0.098295217,
0.075398584,,0.156825413,,0.047033445,,0.110659317,
0.110078402,,0.125779225,,0.103530966,,0.076617262,
0.016488939,,0.057305117,,0.061040872,,0.051060895,
0.076418011,,0.089867277,,0.07128043,,0.155925872,
0.049085268,,0.101805305,,0.049657278,,0.094424067,
0.03384449,,0.102408574,,0.043117672,,0.012787309,
0.059900685,,0.129576044,,0.041214139,,0.047648717,
0.043297388,,0.15028437,,0.051243907,,0.073222071,
0.071698657,,0.130432344,,0.076350446,,0.045166035,
0.04748064,,0.125920761,,0.071893576,,0.022887178,
0.073356733,,0.115742323,,0.109937007,,0.111745594,
0.049343106,,0.080965023,,0.062959823,,0.06432985,
0.095245796,,0.15088619,,0.165038902,,0.113792604,
