all_between,all_within
-0.049077164,
0.042775977,
0.036775444,
7.9305E-05,
0.04272202,
-0.022049645,
-0.065619938,
0.05125637,
0.00231785,
-0.052417845,
0.038914423,
0.016388459,
0.03281372,
-0.001222469,
0.05331675,
0.064504996,
0.060378555,
0.078944676,
0.090402186,
-0.063467965,
-0.04534512,
-0.087119743,
-0.047324229,
-0.060322307,
-0.039197128,
-0.08076711,
-0.058562342,
-0.057647485,
-0.049530439,
-0.066733316,
-0.052460246,
-0.010170021,
0.045669112,
0.122192807,
0.024428818,
0.049910657,
-0.007766012,
0.065021887,
0.060855307,
0.039788343,
0.063409738,
-0.007362408,
-0.086737618,
0.050161403,
0.002212323,
-0.027731301,
0.05640202,
0.030282041,
0.026399139,
0.016942229,
0.061555482,
0.036121044,
0.036023773,
0.056983251,
0.090432078,
-0.107788898,
-0.098708436,
-0.138933316,
-0.108803786,
-0.125322521,
-0.067573503,
-0.105285406,
-0.101529017,
-0.12257266,
-0.085259348,
-0.116443336,
-0.117129594,
-0.020940119,
0.013911068,
0.095555283,
0.010543435,
0.009718304,
-0.022407237,
0.050753817,
0.040394496,
-0.016259998,
0.038771216,
-0.006431364,
-0.061649099,
0.044114411,
0.019920817,
-0.050483137,
0.035412502,
0.02224768,
